Timestamp,I am 18+ and consent to take part. I understand anomymised data will be published openly,Please enter your prolific ID (this is required to receive payment),"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ",I have a clear understanding of my core personal values. ,I can easily explain what matters most to me. ,My values rarely change over time. ,I feel confident in what I believe is right for me. ,Which of the following best represent your top three personal values? (select up to 3),What matters most to you in life?  ,My life feels meaningful. ,I feel fulfilled by how I spend my time. ,I have a clear sense of direction in my life. ,I often feel unsure about what I truly want in life. ,I feel motivated about my future. ,My daily behaviour reflects my values. ,I often behave in ways that conflict with what’s important to me. ,"I often know what I should do, but I struggle to follow through in real life ",I struggle to be the person I want to be. ,Which areas of your life feel least aligned with your values? (select all that apply),  I have felt cheerful and in good spirits.  ,I have felt calm and relaxed. ,I have felt active and vigorous. ,I woke up feeling fresh and rested. ,My daily life has been filled with things that interest me. ,I trust myself to make good decisions. ,I feel easily influenced by other people’s opinions. ,I doubt myself even when I know what I truly value. ,I find it difficult to follow my internal compass. ,Digital noise makes it harder to focus on what matters. ,I often feel distracted from my values by online content. ,"I often feel reactive, distracted, or pulled away from the person I want to become. ",AI tools sometimes influence how I think about decisions. ,I prefer to rely on my own judgement rather than AI suggestions. ,I worry that AI could push society away from meaningful things.  ,AI should be trained to reflect core human values. ,Understanding what humans value is important for future AI systems. ,Which values do you believe AI systems should reflect? (select up 3),What is your age group?,Which of the following best describes your current work status? ,What is your highest level of education? ,Country of residence,Which of the following best describes your gender?,How would you describe your general emotional wellbeing?  
25/11/2025 09:57:31,Yes,62682277645054f5802459b8,Often,7,7,7,5,"Family, Honesty / Integrity, Health",being healthy,6,6,6,2,5,5,1,3,3,"Time / focus, Digital habits",4,4,2,2,4,7,3,2,2,5,5,3,1,6,6,7,7,"Honesty, Human wellbeing, Accountability",55 - 65,Not currently working,Bachelor’s degree,UK,Man,6
25/11/2025 09:57:34,Yes,5ea7e9f15bc7011d31958608,Rarely,5,5,5,5,"Family, Security / Stability, Health",family,5,5,5,3,5,5,3,4,4,None,3,3,3,3,3,4,3,4,3,3,3,3,1,7,4,3,5,"Honesty, Fairness, Human wellbeing",55 - 65,Employed full time,Bachelor’s degree,UK,Woman,4
25/11/2025 09:57:39,Yes,669a4f388b2de8df723faf1e,Sometimes,6,6,5,6,"Honesty / Integrity, Independence, Creativity",purpose,6,6,6,2,6,6,3,3,2,"Health, Time / focus, Relationships, Finances",3,5,4,2,4,7,2,1,1,1,1,1,1,6,1,1,5,"Honesty, Non-harm, Transparency",45 - 54,Employed full time,Postgraduate degree,UK,Woman,6
25/11/2025 09:57:49,Yes,6647f6f3a9dee002df9948c7,Rarely,6,5,5,5,"Family, Achievement / Growth, Independence",My children,3,2,4,6,4,5,4,7,6,"Work / career, Finances, Purpose / direction",2,3,2,3,3,4,6,7,4,6,5,6,2,7,5,3,5,"Honesty, Non-harm, Transparency",35 - 44,Employed part-time,Postgraduate degree,US,Man,2
25/11/2025 09:57:51,Yes,616adade94b2d0ae7b64ea0a,Very often,6,4,5,5,"Family, Achievement / Growth, Health",Doing right for myself and the people I love,4,3,3,6,3,4,5,5,6,"Health, Relationships, Work / career, Digital habits",2,2,2,1,1,5,4,6,4,7,4,6,2,7,7,7,7,"Responsibility, Human wellbeing, Transparency",18 - 24,Student,Bachelor’s degree,UK,Woman,4
25/11/2025 09:58:12,Yes,5d7cc2a885d34b0001657ea7,Occasionally,6,5,6,6,"Family, Honesty / Integrity, Compassion",Family,6,4,4,5,4,6,2,3,2,"Health, Time / focus, Relationships, Work / career",3,3,3,2,3,6,2,2,2,4,2,2,1,7,6,6,6,"Honesty, Respect, Responsibility",45 - 54,Employed full time,Bachelor’s degree,UK,Man,5
25/11/2025 09:58:13,Yes,654676d73282e9e8d26d129f,Sometimes,3,2,6,5,"Family, Achievement / Growth, Health",family ,3,2,2,6,2,2,5,6,6,"Digital habits, Purpose / direction",2,3,1,1,1,6,5,4,4,5,5,5,6,6,5,4,4,"Honesty, Fairness",25 - 34,Employed full time,Bachelor’s degree,Canada,Woman,4
25/11/2025 09:58:14,Yes,5ca9d0224f3e9d00164426f3,Very often,7,7,6,6,"Family, Honesty / Integrity, Compassion",my family,7,5,6,1,7,7,1,1,1,Purpose / direction,5,4,4,4,5,7,1,1,1,6,2,3,5,6,6,4,4,"Non-harm, Transparency, Accountability",55 - 65,Employed part-time,Postgraduate degree,Canada,Woman,6
25/11/2025 09:58:15,Yes,691d02e255c960ab46e938a0,Often,6,4,5,4,"Honesty / Integrity, Independence, Adventure",Adventure,5,4,3,4,5,3,4,6,2,"Relationships, Work / career",4,4,4,3,4,4,3,5,5,5,6,5,5,6,6,6,7,"Empathy, Human wellbeing, Accountability",35 - 44,Employed full time,Bachelor’s degree,Australia,Man,5
25/11/2025 09:58:16,Yes,67f534820e533aa3ba9106dc,Sometimes,6,6,6,6,"Security / Stability, Health, Independence",health,5,4,5,5,5,4,3,5,4,"Health, Relationships, Finances, Purpose / direction",4,3,3,2,3,6,2,3,2,6,6,6,3,6,5,4,6,"Fairness, Respect, Accountability",55 - 65,Employed full time,Bachelor’s degree,UK,Woman,5
25/11/2025 09:58:29,Yes,5ecd140ebd14f60292e6e618,Occasionally,2,4,1,3,"Achievement / Growth, Security / Stability, Responsibility",Doing my best in everything I do,6,5,6,5,6,5,6,7,7,"Health, Time / focus, Digital habits",3,2,4,3,4,5,6,6,4,6,6,2,2,7,7,7,7,"Honesty, Responsibility, Human wellbeing",18 - 24,Employed full time,Postgraduate degree,UK,Woman,5
25/11/2025 09:58:31,Yes,5d4310bbd8e961001b825ca4,Occasionally,5,6,5,6,"Family, Honesty / Integrity, Security / Stability",My wife and son ,4,5,5,4,4,6,2,4,4,None,4,4,3,2,3,5,1,1,4,1,1,1,2,4,3,2,4,"Fairness, Non-harm, Transparency",Over 65,Employed full time,Bachelor’s degree,UK,Man,6
25/11/2025 09:58:32,Yes,60d4497712b0332d4ccb9c48,Never,6,5,6,6,"Family, Honesty / Integrity, Compassion",My children and grandchildren,6,6,4,2,4,6,1,4,2,"Work / career, Digital habits, Purpose / direction",4,4,2,3,4,6,3,1,2,6,5,2,1,7,7,5,6,"Honesty, Transparency, Accountability",Over 65,Other,Some university/college,UK,Woman,6
25/11/2025 09:58:34,Yes,5df5b73cd52c7b4021e0d0b6,Everyday,7,7,6,6,"Family, Honesty / Integrity, Creativity",My family,6,6,6,3,6,6,2,2,3,"Relationships, Digital habits",4,4,4,4,4,6,2,2,2,5,3,4,3,6,4,4,5,"Responsibility, Non-harm, Accountability",35 - 44,Employed full time,Postgraduate degree,Canada,Woman,6
25/11/2025 09:58:46,Yes,691fb1633d86003931ddb26b,Sometimes,6,6,4,5,"Honesty / Integrity, Compassion, Responsibility",Spending time with the people close to me,6,5,3,5,3,5,2,5,5,"Time / focus, Work / career, Purpose / direction",3,4,2,2,3,5,3,2,3,6,4,5,3,6,7,4,4,"Non-harm, Transparency, Accountability",18 - 24,Student,Some university/college,Ireland,Man,5
25/11/2025 09:58:46,Yes,62b2080f8f89f2f15c47d9ba,Sometimes,7,7,7,7,"Family, Security / Stability, Faith / Spirituality",The health and happiness of my children,5,5,6,2,5,5,4,5,3,Relationships,3,4,4,4,3,6,4,3,2,7,6,6,4,7,7,7,7,"Responsibility, Non-harm, Accountability",55 - 65,Self-employed / freelance,Bachelor’s degree,UK,Woman,5
25/11/2025 09:58:52,Yes,614f253f9cb4943cc553e686,Often,5,6,5,6,"Honesty / Integrity, Independence, Responsibility",pride,7,6,7,2,5,6,6,6,3,"Time / focus, Work / career, Purpose / direction",5,4,4,5,4,7,6,4,6,7,7,7,2,7,2,7,6,"Respect, Responsibility, Non-harm",25 - 34,Employed full time,Postgraduate degree,Canada,Man,6
25/11/2025 09:58:53,Yes,60e7f058b39b70d0de8705f7,Often,5,6,5,5,"Family, Security / Stability, Health",My kids,4,4,3,5,3,3,4,5,6,"Time / focus, Work / career, Finances, Purpose / direction",3,3,2,2,1,4,3,4,5,5,5,5,5,5,3,3,4,"Honesty, Non-harm, Transparency",25 - 34,Employed part-time,Some university/college,UK,Woman,4
25/11/2025 09:58:55,Yes,5e6ce118673e50000c303890,Occasionally,6,6,6,7,"Family, Honesty / Integrity, Responsibility",Family ,6,5,5,4,5,6,2,2,3,"Work / career, Digital habits",4,4,4,3,4,6,3,3,3,3,2,2,2,6,5,6,4,"Fairness, Responsibility, Transparency",55 - 65,Employed full time,High school,UK,Man,6
25/11/2025 09:58:55,Yes,5bb9807fe04fca0001436211,Sometimes,6,7,4,6,"Family, Achievement / Growth, Faith / Spirituality",God and family,7,6,5,3,6,6,4,7,6,"Health, Work / career, Finances",4,3,2,2,4,6,3,3,2,6,5,6,5,5,7,4,4,"Non-harm, Transparency",45 - 54,Not currently working,Bachelor’s degree,US,Woman,6
25/11/2025 09:58:57,Yes,65fcdebb4bb107ea35f4ab42,Very often,6,7,4,6,"Family, Security / Stability, Health","What matters most to me is being able to be a good person, but also being able to have financial stability in my life. I like there to be structure and social relationships. I want goo health and balance. I also care deeply for my family. I treasure new experiences.",5,6,6,3,7,6,2,3,5,"Time / focus, Digital habits",4,4,4,5,4,6,4,3,3,6,5,6,6,7,7,4,6,"Fairness, Responsibility, Transparency",25 - 34,Employed full time,Bachelor’s degree,US,Woman,6
25/11/2025 09:58:59,Yes,60fde5c925a095a132c3c014,Everyday,7,7,7,6,"Family, Honesty / Integrity, Independence",My kids,6,7,5,6,5,7,1,6,6,"Time / focus, Digital habits, Finances",4,4,3,4,5,6,3,4,5,6,5,3,3,7,5,6,7,"Respect, Human wellbeing, Non-harm",25 - 34,Employed full time,High school,Canada,Woman,5
25/11/2025 09:59:02,Yes,60a96f55b7ab20ce0ac1b365,Very often,5,6,7,7,"Honesty / Integrity, Compassion, Responsibility",That my family are happy. ,6,7,6,3,6,6,2,2,2,"Health, Relationships, Work / career",4,3,4,2,4,7,3,1,2,1,4,5,6,4,2,4,4,"Honesty, Fairness, Responsibility",55 - 65,Employed part-time,High school,UK,Man,5
25/11/2025 09:59:06,Yes,5ed94af267e7bf10f180c5b0,Everyday,7,7,6,7,"Family, Health, Adventure",making memories,2,4,3,5,5,5,2,5,4,"Health, Relationships, Finances",2,3,2,2,3,4,2,2,2,6,2,3,5,5,4,6,6,"Honesty, Non-harm, Transparency",25 - 34,Employed full time,Postgraduate degree,Canada,Woman,3
25/11/2025 09:59:12,Yes,6637b21240220c2517fffa1a,Everyday,5,6,3,4,"Family, Health, Compassion",My kids and grandson,2,3,1,7,7,4,2,7,7,"Work / career, Finances, Purpose / direction",1,2,1,1,2,2,4,5,5,6,7,6,5,4,2,6,6,"Empathy, Human wellbeing, Non-harm",55 - 65,Not currently working,Some university/college,US,Woman,2
25/11/2025 09:59:12,Yes,5efca85159e09c06e7d064ba,Sometimes,6,7,4,5,"Family, Health, Independence",Family,7,7,5,1,6,6,3,7,7,"Work / career, Finances, Purpose / direction",3,1,2,2,4,1,7,6,7,7,5,7,2,6,7,7,6,"Honesty, Empathy, Transparency",25 - 34,Employed full time,Some university/college,UK,Woman,2
25/11/2025 09:59:12,Yes,5f4fef64fd3fc113300fbb44,Occasionally,5,6,7,6,"Family, Honesty / Integrity, Security / Stability",Experiences with family and friends,5,4,5,3,6,5,4,4,5,"Work / career, Digital habits",3,4,3,3,4,6,2,4,4,6,6,5,4,7,5,4,6,"Honesty, Human wellbeing, Accountability",35 - 44,Employed full time,Bachelor’s degree,US,Man,5
25/11/2025 09:59:13,Yes,571b37aa5d40840011c3a04d,Occasionally,7,7,6,7,"Family, Security / Stability, Creativity",My health,6,7,7,1,5,7,3,7,1,Health,5,5,4,3,5,6,3,5,2,5,4,1,1,7,7,7,7,"Non-harm, Transparency, Accountability",55 - 65,Self-employed / freelance,High school,UK,Woman,6
25/11/2025 09:59:14,Yes,5d30dfa68b1523000134878f,Occasionally,5,3,4,4,"Honesty / Integrity, Security / Stability, Health",Peaceful life,5,5,4,6,4,5,3,5,5,"Work / career, Finances",4,3,2,2,3,4,5,5,3,4,3,5,3,4,4,5,5,"Empathy, Respect, Transparency",25 - 34,Self-employed / freelance,Bachelor’s degree,Canada,Man,5
25/11/2025 09:59:14,Yes,659c0682d109f8537a89fdd3,Often,4,4,3,5,"Family, Security / Stability, Health",Health,3,3,3,6,3,3,4,5,5,"Digital habits, Purpose / direction",2,2,2,2,2,3,5,6,5,6,6,6,5,4,5,4,5,"Honesty, Responsibility, Transparency",18 - 24,Employed full time,Bachelor’s degree,Canada,Man,3
25/11/2025 09:59:22,Yes,67911515704f23af2882fef6,Sometimes,6,6,6,6,"Family, Honesty / Integrity, Health",My daughter ,3,2,2,6,2,5,6,6,7,"Health, Purpose / direction",3,3,2,1,3,3,5,6,5,6,5,5,5,6,7,7,7,"Honesty, Non-harm, Transparency",Over 65,Not currently working,High school,UK,Woman,3
25/11/2025 09:59:22,Yes,5f29eff59714081a3594a331,Everyday,7,7,5,7,"Family, Honesty / Integrity, Faith / Spirituality",Fulfilling God's purpose for my life,7,7,7,1,7,7,1,2,1,"Health, Time / focus, Relationships, Work / career, Finances, Purpose / direction",5,5,5,5,5,6,1,3,1,5,3,3,6,4,4,5,6,"Honesty, Fairness, Non-harm",35 - 44,Employed full time,Postgraduate degree,New Zealand,Man,7
25/11/2025 09:59:22,Yes,66e2ca2c9b6fdfcc5532231b,Everyday,6,6,6,6,"Honesty / Integrity, Responsibility",My children,6,5,5,2,5,6,3,4,4,Health,4,4,4,3,4,6,5,5,2,3,4,4,6,3,3,6,6,"Honesty, Fairness, Responsibility",25 - 34,Employed full time,Bachelor’s degree,UK,Man,6
25/11/2025 09:59:25,Yes,69173338e63cb8d32cf1173e,Sometimes,6,6,5,5,"Family, Achievement / Growth, Health",Personal achievements and progressing in my dream career,5,6,6,2,6,4,5,3,3,Digital habits,4,3,3,2,5,7,2,4,2,3,1,2,3,7,7,7,7,"Honesty, Human wellbeing, Accountability",18 - 24,Student,Some university/college,Ireland,Man,5
25/11/2025 09:59:25,Yes,5cdc899d48d5f100195fafff,Sometimes,5,7,4,7,"Family, Honesty / Integrity, Health",making enough money to make ends meet to my family right now,6,6,6,5,7,7,7,7,6,Finances,3,2,2,1,3,4,3,6,6,4,3,2,4,5,6,5,7,"Honesty, Human wellbeing, Non-harm",35 - 44,Not currently working,Less than high school,UK,Man,3
25/11/2025 09:59:26,Yes,57c357770e6a1f00015f6038,Everyday,7,6,3,6,"Family, Security / Stability, Independence",Being with my family ,7,6,7,3,6,6,1,3,3,Digital habits,4,3,3,3,5,5,2,2,2,5,4,5,5,4,1,5,5,"Fairness, Responsibility, Non-harm",45 - 54,Self-employed / freelance,Postgraduate degree,UK,Woman,6
25/11/2025 09:59:32,Yes,69139e76f094fe9ae2af2891,Often,6,5,5,6,"Honesty / Integrity, Security / Stability, Independence",being able to do my usual hobbies,5,5,6,3,5,6,4,6,5,"Health, Time / focus, Relationships, Work / career, Digital habits",4,4,3,3,4,6,5,5,3,6,4,4,5,4,7,7,7,"Honesty, Responsibility, Human wellbeing",18 - 24,Student,Some university/college,Canada,Man,5
25/11/2025 09:59:33,Yes,6637e6d382d221675254185b,Very often,4,5,3,6,"Honesty / Integrity, Independence, Adventure",Freedom,6,6,5,5,6,6,3,4,4,"Work / career, Digital habits",4,4,4,3,3,5,2,3,2,2,4,3,2,7,6,4,4,"Non-harm, Transparency, Accountability",35 - 44,Employed full time,Bachelor’s degree,Canada,Man,5
25/11/2025 09:59:33,Yes,5788d88416a091000112be18,Very often,5,5,3,5,"Family, Health, Independence",My son and daughter,6,5,6,3,6,4,5,7,6,"Health, Digital habits, Finances",3,3,2,2,4,5,3,4,4,6,4,5,5,6,6,5,5,"Honesty, Fairness, Transparency",55 - 65,Employed part-time,Bachelor’s degree,UK,Woman,5
25/11/2025 09:59:37,Yes,599c1130638529000144ffdd,Occasionally,6,6,5,6,"Family, Health, Faith / Spirituality",My family ,7,5,5,2,3,5,2,3,2,None,4,3,3,2,4,7,1,3,3,4,2,1,2,7,7,7,7,"Respect, Human wellbeing, Accountability",Over 65,Not currently working,High school,UK,Woman,6
25/11/2025 09:59:39,Yes,667433338e6cc9e53c828774,Everyday,7,7,4,5,"Family, Health, Independence",Living in a meaningful and fulfilling life,1,1,1,1,1,3,4,5,7,"Relationships, Work / career, Finances",1,1,1,1,1,3,3,7,5,7,7,7,7,7,7,7,7,"Honesty, Empathy, Fairness",35 - 44,Self-employed / freelance,Some university/college,US,Woman,1
25/11/2025 09:59:39,Yes,69123d02cb8bf34400e3ff76,Rarely,7,7,6,7,"Honesty / Integrity, Health, Compassion","Helping others, being kind to myself and others and the world, loving and being loved",6,6,5,2,5,6,1,4,2,Relationships,4,2,2,1,4,5,2,2,1,6,5,1,2,7,7,6,6,"Honesty, Responsibility, Accountability",25 - 34,Employed part-time,Bachelor’s degree,Australia,Non-binary,5
25/11/2025 09:59:43,Yes,587249a2e9cb31000195ed09,Occasionally,6,6,7,6,"Honesty / Integrity, Health, Independence",Doing what I consider to be the right thing and being fair,2,2,3,4,2,6,2,1,4,"Relationships, Finances",2,4,3,2,2,4,3,2,2,4,3,3,2,6,4,5,5,"Honesty, Fairness, Transparency",55 - 65,Not currently working,Bachelor’s degree,UK,Man,4
25/11/2025 09:59:43,Yes,66686754656626db092a1002,Very often,7,7,6,7,"Family, Honesty / Integrity, Compassion","My Family is most important in my life. From them I learned honesty, integrity and compassion which are also my top personal values.",7,6,6,1,6,7,1,3,3,"Health, Finances",5,5,4,4,5,7,2,1,2,4,4,3,1,7,5,1,1,"Non-harm, Transparency, Accountability",35 - 44,Employed full time,Some university/college,US,Woman,7
25/11/2025 09:59:43,Yes,641385c88f29eb3264283818,Never,4,5,2,4,"Honesty / Integrity, Security / Stability, Health",health,2,2,1,3,1,6,2,3,1,None,2,3,4,3,2,4,1,4,2,4,1,1,1,7,6,4,5,"Honesty, Transparency, Accountability",55 - 65,Not currently working,Postgraduate degree,US,Man,5
25/11/2025 09:59:44,Yes,5f6c423e8071b21b35b07ea6,Never,7,7,7,7,"Family, Health, Faith / Spirituality",My family,7,6,7,1,6,7,1,4,2,None,5,5,1,2,3,7,1,1,1,1,1,1,1,7,7,1,1,AI systems are ARTIFICIAL. They reflect what is programmed into them!,Over 65,Not currently working,Some university/college,UK,Woman,7
25/11/2025 09:59:45,Yes,676ed6c97f59dba5a786886d,Everyday,6,6,3,5,"Family, Compassion, Creativity",My family ,7,5,5,4,7,6,2,4,4,Digital habits,4,4,5,3,4,6,3,3,2,6,2,3,5,7,2,3,4,"Responsibility, Non-harm, Transparency",35 - 44,Self-employed / freelance,Postgraduate degree,UK,Man,6
