consent,ai_tool_use_frequency,values_understanding,values_explainability,values_stability,values_confidence,values_top3_multi,what_matters_most,life_meaning,life_fulfilment,life_direction,life_uncertainty,future_motivation,behaviour_alignment,behaviour_conflict,behaviour_followthrough,identity_struggle,values_misaligned_areas_multi,wellbeing_cheerful,wellbeing_calm,wellbeing_active,wellbeing_fresh,wellbeing_interest,selftrust_decisions,selftrust_influence,selftrust_doubt,selftrust_compass,digital_noise_focus,digital_noise_values,digital_noise_identity,ai_influence_decisions,ai_prefer_self_judgement,ai_society_meaning,ai_train_values,ai_understand_values,ai_values_multi,age_group,work_status,education_level,country,gender,emotional_wellbeing,values_top3_multi_other,values_misaligned_areas_multi_other,ai_values_multi_other
yes,rarely,5,5,1,5,achievement_growth;security_stability;health,Being a kind person who always has something nice to say to others,2,2,1,5,3,6,1,2,2,none,2,2,3,4,2,5,2,3,2,5,3,5,1,7,7,4,5,honesty;fairness;non_harm,25_34,self_employed,some_university_college,uk,man,5,,,
yes,very_often,7,7,5,7,family;achievement_growth;security_stability,Family,7,7,7,1,7,7,1,4,7,time_focus;relationships;finances;purpose_direction,5,5,5,5,5,7,1,6,1,3,2,1,1,7,1,5,6,honesty;empathy;fairness,35_44,employed_full_time,some_university_college,uk,man,7,,,
yes,very_often,6,7,6,6,family;honesty_integrity;responsibility,my family and our wellbeing,7,6,6,2,6,5,6,6,4,time_focus;digital_habits,4,4,4,5,4,7,2,2,2,4,5,5,6,4,6,7,7,empathy;fairness;respect,45_54,employed_full_time,bachelors_degree,uk,man,6,,,
yes,sometimes,6,5,4,5,honesty_integrity;independence;responsibility,Being free and helping others to be free,5,4,4,5,4,5,6,3,4,relationships;finances,4,3,2,3,4,6,3,3,3,6,6,4,3,7,7,3,5,non_harm;transparency;accountability,35_44,employed_full_time,postgraduate_degree,uk,man,6,,,
yes,everyday,7,6,7,5,family;achievement_growth;health,Health and family,6,5,5,3,7,7,2,5,3,health;time_focus;relationships,3,4,4,2,3,6,1,2,3,3,2,2,5,5,2,4,6,fairness;human_wellbeing;transparency,25_34,employed_full_time,bachelors_degree,us,man,6,,,
yes,often,5,5,5,5,family;achievement_growth;independence,My son,4,3,4,5,5,4,5,5,6,relationships;finances,2,3,3,1,2,5,5,5,4,2,2,6,2,5,3,5,5,honesty;transparency;accountability,45_54,employed_full_time,bachelors_degree,uk,man,3,,,
yes,often,6,7,6,6,family;achievement_growth;security_stability,My family,6,5,6,7,6,7,6,6,3,health;relationships;work_career,4,5,4,4,4,6,3,2,1,5,4,4,5,3,4,5,6,honesty;respect;transparency,45_54,employed_full_time,high_school,uk,man,6,,,
yes,everyday,6,6,5,6,family;security_stability;health,The ability to provide for my family and keep them safe.,6,4,5,3,6,6,2,3,3,relationships,3,2,4,3,3,6,3,5,3,6,5,5,4,5,3,7,6,honesty;empathy;non_harm,35_44,employed_full_time,postgraduate_degree,ca,man,6,,,
yes,often,6,6,6,7,family;honesty_integrity;security_stability,My familys health and happiness,6,6,6,2,7,7,1,1,1,finances,5,5,5,5,5,6,5,1,1,3,4,4,5,6,2,5,6,empathy;human_wellbeing;transparency,35_44,employed_full_time,bachelors_degree,uk,man,6,,,
yes,sometimes,6,6,5,6,family;security_stability;compassion,Family,6,6,6,2,6,6,2,2,2,time_focus;digital_habits;finances,4,4,3,4,4,5,3,2,2,5,3,2,1,5,3,6,6,fairness;responsibility;transparency,25_34,employed_full_time,bachelors_degree,uk,woman,5,,,
yes,often,7,7,7,5,family;honesty_integrity;health,being healthy,6,6,6,2,5,5,1,3,3,time_focus;digital_habits,4,4,2,2,4,7,3,2,2,5,5,3,1,6,6,7,7,honesty;human_wellbeing;accountability,55_65,not_currently_working,bachelors_degree,uk,man,6,,,
yes,rarely,5,5,5,5,family;security_stability;health,family,5,5,5,3,5,5,3,4,4,none,3,3,3,3,3,4,3,4,3,3,3,3,1,7,4,3,5,honesty;fairness;human_wellbeing,55_65,employed_full_time,bachelors_degree,uk,woman,4,,,
yes,sometimes,6,6,5,6,honesty_integrity;independence;creativity,purpose,6,6,6,2,6,6,3,3,2,health;time_focus;relationships;finances,3,5,4,2,4,7,2,1,1,1,1,1,1,6,1,1,5,honesty;non_harm;transparency,45_54,employed_full_time,postgraduate_degree,uk,woman,6,,,
yes,rarely,6,5,5,5,family;achievement_growth;independence,My children,3,2,4,6,4,5,4,7,6,work_career;finances;purpose_direction,2,3,2,3,3,4,6,7,4,6,5,6,2,7,5,3,5,honesty;non_harm;transparency,35_44,employed_part_time,postgraduate_degree,us,man,2,,,
yes,very_often,6,4,5,5,family;achievement_growth;health,Doing right for myself and the people I love,4,3,3,6,3,4,5,5,6,health;relationships;work_career;digital_habits,2,2,2,1,1,5,4,6,4,7,4,6,2,7,7,7,7,responsibility;human_wellbeing;transparency,18_24,student,bachelors_degree,uk,woman,4,,,
yes,occasionally,6,5,6,6,family;honesty_integrity;compassion,Family,6,4,4,5,4,6,2,3,2,health;time_focus;relationships;work_career,3,3,3,2,3,6,2,2,2,4,2,2,1,7,6,6,6,honesty;respect;responsibility,45_54,employed_full_time,bachelors_degree,uk,man,5,,,
yes,sometimes,3,2,6,5,family;achievement_growth;health,family,3,2,2,6,2,2,5,6,6,digital_habits;purpose_direction,2,3,1,1,1,6,5,4,4,5,5,5,6,6,5,4,4,honesty;fairness,25_34,employed_full_time,bachelors_degree,ca,woman,4,,,
yes,very_often,7,7,6,6,family;honesty_integrity;compassion,my family,7,5,6,1,7,7,1,1,1,purpose_direction,5,4,4,4,5,7,1,1,1,6,2,3,5,6,6,4,4,non_harm;transparency;accountability,55_65,employed_part_time,postgraduate_degree,ca,woman,6,,,
yes,often,6,4,5,4,honesty_integrity;independence;adventure,Adventure,5,4,3,4,5,3,4,6,2,relationships;work_career,4,4,4,3,4,4,3,5,5,5,6,5,5,6,6,6,7,empathy;human_wellbeing;accountability,35_44,employed_full_time,bachelors_degree,au,man,5,,,
yes,sometimes,6,6,6,6,security_stability;health;independence,health,5,4,5,5,5,4,3,5,4,health;relationships;finances;purpose_direction,4,3,3,2,3,6,2,3,2,6,6,6,3,6,5,4,6,fairness;respect;accountability,55_65,employed_full_time,bachelors_degree,uk,woman,5,,,
yes,occasionally,2,4,1,3,achievement_growth;security_stability;responsibility,Doing my best in everything I do,6,5,6,5,6,5,6,7,7,health;time_focus;digital_habits,3,2,4,3,4,5,6,6,4,6,6,2,2,7,7,7,7,honesty;responsibility;human_wellbeing,18_24,employed_full_time,postgraduate_degree,uk,woman,5,,,
yes,occasionally,5,6,5,6,family;honesty_integrity;security_stability,My wife and son,4,5,5,4,4,6,2,4,4,none,4,4,3,2,3,5,1,1,4,1,1,1,2,4,3,2,4,fairness;non_harm;transparency,over_65,employed_full_time,bachelors_degree,uk,man,6,,,
yes,never,6,5,6,6,family;honesty_integrity;compassion,My children and grandchildren,6,6,4,2,4,6,1,4,2,work_career;digital_habits;purpose_direction,4,4,2,3,4,6,3,1,2,6,5,2,1,7,7,5,6,honesty;transparency;accountability,over_65,other,some_university_college,uk,woman,6,,,
yes,everyday,7,7,6,6,family;honesty_integrity;creativity,My family,6,6,6,3,6,6,2,2,3,relationships;digital_habits,4,4,4,4,4,6,2,2,2,5,3,4,3,6,4,4,5,responsibility;non_harm;accountability,35_44,employed_full_time,postgraduate_degree,ca,woman,6,,,
yes,sometimes,6,6,4,5,honesty_integrity;compassion;responsibility,Spending time with the people close to me,6,5,3,5,3,5,2,5,5,time_focus;work_career;purpose_direction,3,4,2,2,3,5,3,2,3,6,4,5,3,6,7,4,4,non_harm;transparency;accountability,18_24,student,some_university_college,ie,man,5,,,
yes,sometimes,7,7,7,7,family;security_stability;faith_spirituality,The health and happiness of my children,5,5,6,2,5,5,4,5,3,relationships,3,4,4,4,3,6,4,3,2,7,6,6,4,7,7,7,7,responsibility;non_harm;accountability,55_65,self_employed,bachelors_degree,uk,woman,5,,,
yes,often,5,6,5,6,honesty_integrity;independence;responsibility,pride,7,6,7,2,5,6,6,6,3,time_focus;work_career;purpose_direction,5,4,4,5,4,7,6,4,6,7,7,7,2,7,2,7,6,respect;responsibility;non_harm,25_34,employed_full_time,postgraduate_degree,ca,man,6,,,
yes,often,5,6,5,5,family;security_stability;health,My kids,4,4,3,5,3,3,4,5,6,time_focus;work_career;finances;purpose_direction,3,3,2,2,1,4,3,4,5,5,5,5,5,5,3,3,4,honesty;non_harm;transparency,25_34,employed_part_time,some_university_college,uk,woman,4,,,
yes,occasionally,6,6,6,7,family;honesty_integrity;responsibility,Family,6,5,5,4,5,6,2,2,3,work_career;digital_habits,4,4,4,3,4,6,3,3,3,3,2,2,2,6,5,6,4,fairness;responsibility;transparency,55_65,employed_full_time,high_school,uk,man,6,,,
yes,sometimes,6,7,4,6,family;achievement_growth;faith_spirituality,God and family,7,6,5,3,6,6,4,7,6,health;work_career;finances,4,3,2,2,4,6,3,3,2,6,5,6,5,5,7,4,4,non_harm;transparency,45_54,not_currently_working,bachelors_degree,us,woman,6,,,
yes,very_often,6,7,4,6,family;security_stability;health,"What matters most to me is being able to be a good person, but also being able to have financial stability in my life. I like there to be structure and social relationships. I want goo health and balance. I also care deeply for my family. I treasure new experiences.",5,6,6,3,7,6,2,3,5,time_focus;digital_habits,4,4,4,5,4,6,4,3,3,6,5,6,6,7,7,4,6,fairness;responsibility;transparency,25_34,employed_full_time,bachelors_degree,us,woman,6,,,
yes,everyday,7,7,7,6,family;honesty_integrity;independence,My kids,6,7,5,6,5,7,1,6,6,time_focus;digital_habits;finances,4,4,3,4,5,6,3,4,5,6,5,3,3,7,5,6,7,respect;human_wellbeing;non_harm,25_34,employed_full_time,high_school,ca,woman,5,,,
yes,very_often,5,6,7,7,honesty_integrity;compassion;responsibility,That my family are happy.,6,7,6,3,6,6,2,2,2,health;relationships;work_career,4,3,4,2,4,7,3,1,2,1,4,5,6,4,2,4,4,honesty;fairness;responsibility,55_65,employed_part_time,high_school,uk,man,5,,,
yes,everyday,7,7,6,7,family;health;adventure,making memories,2,4,3,5,5,5,2,5,4,health;relationships;finances,2,3,2,2,3,4,2,2,2,6,2,3,5,5,4,6,6,honesty;non_harm;transparency,25_34,employed_full_time,postgraduate_degree,ca,woman,3,,,
yes,everyday,5,6,3,4,family;health;compassion,My kids and grandson,2,3,1,7,7,4,2,7,7,work_career;finances;purpose_direction,1,2,1,1,2,2,4,5,5,6,7,6,5,4,2,6,6,empathy;human_wellbeing;non_harm,55_65,not_currently_working,some_university_college,us,woman,2,,,
yes,sometimes,6,7,4,5,family;health;independence,Family,7,7,5,1,6,6,3,7,7,work_career;finances;purpose_direction,3,1,2,2,4,1,7,6,7,7,5,7,2,6,7,7,6,honesty;empathy;transparency,25_34,employed_full_time,some_university_college,uk,woman,2,,,
yes,occasionally,5,6,7,6,family;honesty_integrity;security_stability,Experiences with family and friends,5,4,5,3,6,5,4,4,5,work_career;digital_habits,3,4,3,3,4,6,2,4,4,6,6,5,4,7,5,4,6,honesty;human_wellbeing;accountability,35_44,employed_full_time,bachelors_degree,us,man,5,,,
yes,occasionally,7,7,6,7,family;security_stability;creativity,My health,6,7,7,1,5,7,3,7,1,health,5,5,4,3,5,6,3,5,2,5,4,1,1,7,7,7,7,non_harm;transparency;accountability,55_65,self_employed,high_school,uk,woman,6,,,
yes,occasionally,5,3,4,4,honesty_integrity;security_stability;health,Peaceful life,5,5,4,6,4,5,3,5,5,work_career;finances,4,3,2,2,3,4,5,5,3,4,3,5,3,4,4,5,5,empathy;respect;transparency,25_34,self_employed,bachelors_degree,ca,man,5,,,
yes,often,4,4,3,5,family;security_stability;health,Health,3,3,3,6,3,3,4,5,5,digital_habits;purpose_direction,2,2,2,2,2,3,5,6,5,6,6,6,5,4,5,4,5,honesty;responsibility;transparency,18_24,employed_full_time,bachelors_degree,ca,man,3,,,
yes,sometimes,6,6,6,6,family;honesty_integrity;health,My daughter,3,2,2,6,2,5,6,6,7,health;purpose_direction,3,3,2,1,3,3,5,6,5,6,5,5,5,6,7,7,7,honesty;non_harm;transparency,over_65,not_currently_working,high_school,uk,woman,3,,,
yes,everyday,7,7,5,7,family;honesty_integrity;faith_spirituality,Fulfilling God's purpose for my life,7,7,7,1,7,7,1,2,1,health;time_focus;relationships;work_career;finances;purpose_direction,5,5,5,5,5,6,1,3,1,5,3,3,6,4,4,5,6,honesty;fairness;non_harm,35_44,employed_full_time,postgraduate_degree,nz,man,7,,,
yes,everyday,6,6,6,6,honesty_integrity;responsibility,My children,6,5,5,2,5,6,3,4,4,health,4,4,4,3,4,6,5,5,2,3,4,4,6,3,3,6,6,honesty;fairness;responsibility,25_34,employed_full_time,bachelors_degree,uk,man,6,,,
yes,sometimes,6,6,5,5,family;achievement_growth;health,Personal achievements and progressing in my dream career,5,6,6,2,6,4,5,3,3,digital_habits,4,3,3,2,5,7,2,4,2,3,1,2,3,7,7,7,7,honesty;human_wellbeing;accountability,18_24,student,some_university_college,ie,man,5,,,
yes,sometimes,5,7,4,7,family;honesty_integrity;health,making enough money to make ends meet to my family right now,6,6,6,5,7,7,7,7,6,finances,3,2,2,1,3,4,3,6,6,4,3,2,4,5,6,5,7,honesty;human_wellbeing;non_harm,35_44,not_currently_working,less_than_high_school,uk,man,3,,,
yes,everyday,7,6,3,6,family;security_stability;independence,Being with my family,7,6,7,3,6,6,1,3,3,digital_habits,4,3,3,3,5,5,2,2,2,5,4,5,5,4,1,5,5,fairness;responsibility;non_harm,45_54,self_employed,postgraduate_degree,uk,woman,6,,,
yes,often,6,5,5,6,honesty_integrity;security_stability;independence,being able to do my usual hobbies,5,5,6,3,5,6,4,6,5,health;time_focus;relationships;work_career;digital_habits,4,4,3,3,4,6,5,5,3,6,4,4,5,4,7,7,7,honesty;responsibility;human_wellbeing,18_24,student,some_university_college,ca,man,5,,,
yes,very_often,4,5,3,6,honesty_integrity;independence;adventure,Freedom,6,6,5,5,6,6,3,4,4,work_career;digital_habits,4,4,4,3,3,5,2,3,2,2,4,3,2,7,6,4,4,non_harm;transparency;accountability,35_44,employed_full_time,bachelors_degree,ca,man,5,,,
yes,very_often,5,5,3,5,family;health;independence,My son and daughter,6,5,6,3,6,4,5,7,6,health;digital_habits;finances,3,3,2,2,4,5,3,4,4,6,4,5,5,6,6,5,5,honesty;fairness;transparency,55_65,employed_part_time,bachelors_degree,uk,woman,5,,,
yes,occasionally,6,6,5,6,family;health;faith_spirituality,My family,7,5,5,2,3,5,2,3,2,none,4,3,3,2,4,7,1,3,3,4,2,1,2,7,7,7,7,respect;human_wellbeing;accountability,over_65,not_currently_working,high_school,uk,woman,6,,,
yes,everyday,7,7,4,5,family;health;independence,Living in a meaningful and fulfilling life,1,1,1,1,1,3,4,5,7,relationships;work_career;finances,1,1,1,1,1,3,3,7,5,7,7,7,7,7,7,7,7,honesty;empathy;fairness,35_44,self_employed,some_university_college,us,woman,1,,,
yes,rarely,7,7,6,7,honesty_integrity;health;compassion,"Helping others, being kind to myself and others and the world, loving and being loved",6,6,5,2,5,6,1,4,2,relationships,4,2,2,1,4,5,2,2,1,6,5,1,2,7,7,6,6,honesty;responsibility;accountability,25_34,employed_part_time,bachelors_degree,au,non_binary,5,,,
yes,occasionally,6,6,7,6,honesty_integrity;health;independence,Doing what I consider to be the right thing and being fair,2,2,3,4,2,6,2,1,4,relationships;finances,2,4,3,2,2,4,3,2,2,4,3,3,2,6,4,5,5,honesty;fairness;transparency,55_65,not_currently_working,bachelors_degree,uk,man,4,,,
yes,very_often,7,7,6,7,family;honesty_integrity;compassion,"My Family is most important in my life. From them I learned honesty, integrity and compassion which are also my top personal values.",7,6,6,1,6,7,1,3,3,health;finances,5,5,4,4,5,7,2,1,2,4,4,3,1,7,5,1,1,non_harm;transparency;accountability,35_44,employed_full_time,some_university_college,us,woman,7,,,
yes,never,4,5,2,4,honesty_integrity;security_stability;health,health,2,2,1,3,1,6,2,3,1,none,2,3,4,3,2,4,1,4,2,4,1,1,1,7,6,4,5,honesty;transparency;accountability,55_65,not_currently_working,postgraduate_degree,us,man,5,,,
yes,never,7,7,7,7,family;health;faith_spirituality,My family,7,6,7,1,6,7,1,4,2,none,5,5,1,2,3,7,1,1,1,1,1,1,1,7,7,1,1,,over_65,not_currently_working,some_university_college,uk,woman,7,,,AI systems are ARTIFICIAL. They reflect what is programmed into them!
yes,everyday,6,6,3,5,family;compassion;creativity,My family,7,5,5,4,7,6,2,4,4,digital_habits,4,4,5,3,4,6,3,3,2,6,2,3,5,7,2,3,4,responsibility;non_harm;transparency,35_44,self_employed,postgraduate_degree,uk,man,6,,,
yes,occasionally,5,5,6,6,family;honesty_integrity;health,My family,3,2,3,4,2,2,4,5,4,work_career;purpose_direction,2,3,2,2,2,4,2,5,5,3,4,3,2,5,3,5,6,fairness;human_wellbeing;accountability,55_65,other,bachelors_degree,uk,man,3,,,
yes,everyday,6,6,5,6,family;health;faith_spirituality,Family,6,6,6,2,6,6,2,3,2,digital_habits,4,4,3,4,4,6,2,2,3,2,3,6,5,5,4,5,6,honesty;human_wellbeing;non_harm,35_44,employed_part_time,postgraduate_degree,uk,woman,6,,,
yes,never,7,6,7,7,family;independence;responsibility,welfare of myself and family,6,5,6,2,5,6,1,1,1,none,4,5,3,5,3,7,1,1,1,1,1,1,1,7,4,4,4,honesty;respect;non_harm,over_65,self_employed,postgraduate_degree,us,man,7,,,
yes,everyday,7,7,7,7,honesty_integrity;independence;creativity,Being happy!,6,6,7,2,5,6,2,3,3,health;time_focus;relationships;work_career;digital_habits;purpose_direction,4,3,4,4,4,6,2,2,2,2,2,2,4,5,2,4,4,responsibility;human_wellbeing;non_harm,55_65,self_employed,bachelors_degree,uk,man,5,,,
yes,occasionally,2,2,5,3,family;security_stability;health,My family,2,2,2,6,3,4,2,2,5,time_focus;relationships;purpose_direction,3,3,2,3,2,5,7,6,4,7,6,2,2,6,7,6,4,honesty;responsibility;non_harm,35_44,employed_full_time,bachelors_degree,uk,woman,3,,,
yes,occasionally,5,7,6,5,honesty_integrity;creativity;adventure,Comfort,3,2,2,3,3,2,6,7,7,health;work_career;finances;purpose_direction,2,3,1,1,1,1,2,6,6,7,7,6,1,7,6,7,7,honesty;empathy;non_harm,45_54,employed_full_time,bachelors_degree,au,man,2,,,
yes,rarely,7,7,7,7,family;health;faith_spirituality,Family,7,7,7,1,7,7,1,1,1,none,4,4,4,4,4,7,2,1,1,7,4,5,2,7,7,7,7,honesty;respect;human_wellbeing,over_65,not_currently_working,some_university_college,uk,woman,6,,,
yes,sometimes,5,4,2,4,honesty_integrity;health;independence,Independence,6,5,6,2,5,5,6,2,4,finances,4,5,3,4,4,6,4,2,5,6,2,6,6,2,5,6,7,responsibility;non_harm;accountability,25_34,employed_full_time,bachelors_degree,ca,woman,4,,,
yes,sometimes,5,6,3,6,achievement_growth;health;independence,Progress,2,3,2,5,3,2,2,4,4,time_focus,4,3,4,4,2,5,3,2,5,3,4,4,2,7,7,7,7,empathy;respect;accountability,18_24,employed_full_time,some_university_college,us,man,6,,,
yes,never,6,6,6,6,security_stability;health;independence,maintaining good mental and physical health (so I can achieve other things that matter),1,2,2,4,1,4,5,6,6,relationships;purpose_direction,2,2,1,1,1,3,2,5,4,3,2,4,1,7,7,5,6,honesty;transparency;accountability,35_44,self_employed,some_university_college,us,non_binary,1,,,
yes,rarely,6,6,3,6,security_stability;health;creativity,Currently my mental and physical wellbeing,5,3,3,4,5,5,5,4,3,work_career,3,4,3,3,4,6,3,4,1,5,5,3,2,7,7,4,4,responsibility;transparency;accountability,18_24,student,some_university_college,us,man,5,,,
yes,sometimes,7,7,6,7,family;honesty_integrity;compassion,The people in it,7,7,7,7,6,7,2,2,1,work_career,5,5,5,5,5,7,2,3,2,3,2,2,4,6,7,6,6,honesty;human_wellbeing;non_harm,25_34,employed_full_time,bachelors_degree,us,woman,7,,,
yes,everyday,7,7,7,7,family;honesty_integrity;health,"Having a healthy, happy family",7,6,6,1,7,7,1,1,1,time_focus;digital_habits,4,4,4,4,4,6,2,2,2,5,2,1,2,2,5,7,7,honesty;respect;non_harm,35_44,employed_full_time,high_school,nz,woman,6,,,
yes,everyday,5,4,5,5,family;honesty_integrity;security_stability,"Looking after my family, now and for the future",5,3,4,6,4,5,3,3,3,time_focus;digital_habits,3,4,3,2,2,6,5,5,4,6,6,7,5,4,5,5,6,empathy;respect;human_wellbeing,35_44,employed_full_time,bachelors_degree,uk,man,5,,,
yes,occasionally,7,7,6,7,family;honesty_integrity;health,Family and living every day like its your last. Also living in the moment,6,5,6,2,6,7,2,2,2,work_career,4,4,4,3,4,6,2,3,2,3,3,2,2,2,4,4,5,honesty;human_wellbeing;transparency,25_34,employed_full_time,some_university_college,uk,woman,6,,,
yes,very_often,7,7,7,7,honesty_integrity;compassion;creativity,Being able to continue what I do without the distractions of money related situations,5,5,5,2,5,6,3,2,5,relationships;finances,4,4,4,4,3,7,1,3,2,4,2,5,2,7,3,4,6,honesty;empathy;fairness,55_65,self_employed,some_university_college,ca,man,5,,,
yes,sometimes,6,6,6,6,family;compassion;responsibility,My family,7,7,7,2,6,7,2,1,1,health;digital_habits,4,5,3,4,4,6,2,3,1,6,4,2,1,6,5,6,6,honesty;human_wellbeing;accountability,45_54,employed_full_time,bachelors_degree,us,man,6,,,
yes,very_often,6,6,6,6,family;security_stability;health,health,7,7,6,1,7,6,1,1,1,health;relationships;work_career;finances;purpose_direction,5,5,5,5,4,6,2,1,1,1,1,1,5,4,5,6,6,respect;responsibility;transparency,25_34,employed_full_time,postgraduate_degree,uk,man,6,,,
yes,sometimes,7,7,7,6,honesty_integrity;security_stability;compassion,"My children's happiness, my happiness and all of our health. A great relationship with a partner where we can share daily.",6,3,5,3,5,7,2,2,3,time_focus;relationships;finances,3,3,3,3,2,6,5,5,6,6,3,3,5,6,7,6,6,fairness;respect;non_harm,55_65,employed_full_time,bachelors_degree,ca,woman,5,,,
yes,occasionally,6,6,7,6,honesty_integrity;health;independence,Being true to my own values,6,5,5,2,5,6,2,2,2,none,4,5,2,2,4,6,2,2,2,2,2,2,1,7,6,4,6,honesty;responsibility;non_harm,55_65,not_currently_working,postgraduate_degree,uk,woman,6,,,
yes,everyday,7,7,7,7,security_stability;health;adventure,My own happiness,7,7,7,7,7,7,1,1,1,health;relationships;purpose_direction,5,5,4,4,5,7,1,6,1,4,1,1,3,7,4,7,7,honesty;fairness;transparency,35_44,employed_full_time,bachelors_degree,uk,woman,6,,,
yes,rarely,6,6,5,6,honesty_integrity;health;community_contribution,Family and friends,5,4,4,3,5,5,4,5,6,relationships;finances,3,2,4,1,3,4,3,5,5,5,5,6,6,5,7,6,5,empathy;transparency;accountability,45_54,employed_full_time,postgraduate_degree,uk,man,3,,,
yes,everyday,6,6,4,6,family;achievement_growth;adventure,Taking care of my family and making sure they are well and taken care of.,5,3,3,6,3,4,6,7,7,health;time_focus;relationships;work_career;finances;purpose_direction,3,3,3,3,3,5,4,5,6,5,6,7,7,4,7,7,7,honesty;empathy;non_harm,25_34,employed_full_time,bachelors_degree,ca,man,3,,,
yes,everyday,5,5,3,4,family;honesty_integrity;security_stability,My family,4,4,4,6,4,4,6,4,6,health;work_career;purpose_direction,2,2,2,2,2,4,2,5,4,4,4,4,3,5,4,5,4,honesty;fairness;transparency,55_65,employed_full_time,bachelors_degree,uk,man,2,,,
yes,everyday,7,7,7,7,family;honesty_integrity;achievement_growth,peace,7,7,7,1,7,7,7,7,7,health;time_focus;relationships;work_career;finances;purpose_direction,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,honesty;fairness;respect,18_24,employed_full_time,bachelors_degree,ca,woman,7,,,
yes,often,5,5,5,5,family;honesty_integrity;compassion,my family and friends,5,4,4,3,3,5,4,5,5,time_focus;finances,3,3,3,2,3,4,3,3,3,3,4,4,1,6,4,5,5,honesty;human_wellbeing;accountability,18_24,other,bachelors_degree,uk,woman,4,,,
yes,often,6,6,3,5,family;honesty_integrity;achievement_growth,My family and living a fulfilled life.,6,5,5,6,6,6,3,6,6,health;time_focus;finances,4,2,3,2,4,5,5,5,5,6,6,5,5,6,4,4,7,empathy;responsibility;transparency,25_34,employed_full_time,some_university_college,ca,woman,5,,,
